ID,Name,Age,Course,City,Region,RandomValue,AgeExact
10361,Aurora Stafford,25.24,ITM,St. Andrae,W,0.242879189,25
10362,Flavia Howe,19.12,SWD,St. Andrae,STMK,0.116715485,19
10363,Sigourney Mcclure,24.39,ITM,Bad Ischl,VBG,0.394844723,24
10364,Evangeline Chang,20.01,ITM,Waidhofen an der Ybbs,NOE,0.009924714,20
10365,Idola Kelly,23.86,SWD,Feldkirchen in Kaernten,NOE,0.857783431,23
10366,Sonia Rutledge,24.45,ITM,Vienna,BGLD,0.445562783,24
10367,Zeph Ingram,24.85,ITM,St. Veit an der Glan,SBG,0.854679051,24
10368,Guy Bowman,20.01,ITM,Judenburg,T,0.011955693,20
10369,Alisa Harrison,20.69,SWD,Kufstein,NOE,0.691618902,20
10370,Nissim Pennington,25.8,SWD,Voitsberg,W,0.804790005,25
10371,Macaulay Vincent,22.62,ITM,Voecklabruck,SBG,0.624353436,22
10372,Dawn Hanson,22.31,ITM,Neudoerfl,VBG,0.312383821,22
10373,Diana Baird,25.46,SWD,Mattersburg,OOE,0.459929811,25
10374,Aidan Brewer,23.12,ITM,Pinkafeld,T,0.124226813,23
10375,Maxine Hanson,20.63,IMS,Altmuenster,VBG,0.63176384,20
10376,Catherine Holmes,19.57,ITM,Schwechat,OOE,0.573496616,19
10377,Quintessa Cook,22.38,SWD,Kapfenberg,STMK,0.379502254,22
10378,Gareth Noble,21.73,ITM,Wels,OOE,0.731691152,21
10379,Hadley Case,20,IMS,Landeck,KTN,0.004698723,20
10380,Kenyon James,23.07,ITM,Frauenkirchen,OOE,0.066142469,23
10381,Otto Webb,24.89,IMS,Kapfenberg,W,0.889728509,24
10382,Shelby Sosa,22.43,ITM,Siegendorf,STMK,0.427880669,22
10383,Flynn Conway,25.65,SWD,Marchtrenk,VBG,0.647151472,25
10384,Madaline Baird,20.74,SWD,Oberwart,NOE,0.737681757,20
10385,Fritz Hunt,21.84,ITM,Braunau am Inn,NOE,0.840957771,21
10386,Christine Jenkins,22.54,IMS,Kapfenberg,BGLD,0.537068188,22
10387,Imelda Lancaster,19.38,SWD,Leoben,SBG,0.375159293,19
10388,Quamar Larson,22.9,IMS,Finkenstein am Faaker See,T,0.90387316,22
10389,Maryam Snyder,23.01,ITM,Vienna,NOE,0.005569908,23
10390,Imani Roach,25.56,SWD,Saalfelden am Steinernen Meer,W,0.558772723,25
10391,Illana Carson,21.08,IMS,Ebenthal in Kaernten,SBG,0.079326743,21
10392,Valentine Blankenship,24.97,IMS,Spittal an der Drau,VBG,0.972519767,24
10393,Nissim Holt,25.07,ITM,Korneuburg,OOE,0.067952101,25
10394,Harrison David,23.4,SWD,Tulln an der Donau,T,0.397023095,23
10395,Kylan Bishop,22.06,IMS,Voitsberg,VBG,0.063315969,22
10396,Guy Hendrix,25.09,ITM,Schwechat,OOE,0.092621827,25
10397,Fredericka Castillo,25.91,ITM,Vienna,STMK,0.91036506,25
10398,Elton Waller,25.41,IMS,Bischofshofen,OOE,0.414097292,25
10399,Kadeem Mullins,25.35,SWD,Feldkirchen in Kaernten,KTN,0.350628476,25
